,moves,year_id,month,day,hour_id,source_type_id,source_type_name,fuel_type_id,fuel_type_desc,pollutant_id,pollutant_short_name,rate_per_start,per_diff,District
110,MOVES 2014b,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,2,CO,8.59791,-28.78,El Paso
111,MOVES 3,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,2,CO,6.1236,-28.78,El Paso
112,MOVES 2014b,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,3,NOx,0.0,inf,El Paso
113,MOVES 3,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,3,NOx,5.34975,inf,El Paso
114,MOVES 2014b,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,87,VOC,0.0,inf,El Paso
115,MOVES 3,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,87,VOC,0.0289413,inf,El Paso
116,MOVES 2014b,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,100,PM10 Total Exh,0.00410645,143.78,El Paso
117,MOVES 3,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,100,PM10 Total Exh,0.0100106,143.78,El Paso
118,MOVES 2014b,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,110,PM2.5 Total Exh,0.0037779199999999997,143.78,El Paso
119,MOVES 3,2050,July,Weekday,9,62,Combination Long-haul Truck,2,Diesel Fuel,110,PM2.5 Total Exh,0.00920973,143.78,El Paso
